type,subtype,2012,2013,2014
Hate Crimes,Intimidation,328,355,405
Hate Crimes,Vandalism,444,383,373
Hate Crimes,Body Injury,110,136,92
Hate Crimes,Burglary,10,5,52
Hate Crimes,Larceny,46,41,38
Hate Crimes,Aggravated Assault,24,29,37
